player computer r s p
pps spp 1 0 0
pps sps 4 4 5
pps srs 9 7 4
pps ssp 4 4 0
pps ssr 3 1 1
pps sss 96 77 64
ppsp ppsr 1 0 1
ppsp prps 0 1 3
ppsp prrs 0 0 1
ppsp prsr 0 1 1
ppsp prss 2 1 6
ppsp pspp 1 0 0
ppsp psrp 1 0 0
ppsp psrr 1 0 0
ppsp pssp 16 10 9
ppsp pssr 9 3 6
ppsp psss 17 9 5
ppsp rpsp 0 0 1
ppsp rpsr 1 0 0
ppsp rpss 5 0 1
ppsp rrrp 0 1 0
ppsp rrrs 0 0 1
ppsp rrsp 5 5 11
ppsp rrsr 4 1 1
ppsp rrss 1 0 0
ppsp rspp 1 0 0
ppsp rspr 0 0 1
ppsp rssp 10 17 9
ppsp rssr 1 0 0
ppsp rsss 3 4 4
ppsp spsp 1 3 1
ppsp srsp 0 1 0
ppsp srsr 2 0 1
ppsp ssrr 0 0 1
ppsp sssp 20 21 21
ppsp sssr 0 1 0
ppspp ppsrp 0 0 1
ppspp prpss 1 1 0
ppspp prrsp 0 0 1
ppspp prsrr 0 1 0
ppspp prssp 0 1 0
ppspp prsss 0 2 3
ppspp psspp 1 1 4
ppspp psspr 1 1 1
ppspp pssrp 0 2 0
ppspp pssrr 1 0 0
ppspp pssrs 0 1 2
ppspp psssp 1 0 3
ppspp psssr 1 0 0
ppspp rpsps 0 0 1
ppspp rpssp 1 0 0
ppspp rrrsr 1 0 0
ppspp rrspp 1 0 1
ppspp rrspr 0 0 2
ppspp rrsps 3 0 4
ppspp rrsrp 1 0 0
ppspp rsprp 1 0 0
ppspp rsspr 3 2 2
ppspp rssps 0 1 0
ppspp rsssr 3 1 0
ppspp spspr 1 0 0
ppspp srsrp 0 1 0
ppspp ssspp 7 3 3
ppspp ssspr 1 4 3
ppspr ppsrs 1 0 0
ppspr prsss 0 2 0
ppspr psppp 0 1 0
ppspr psrpr 1 0 0
ppspr psspp 1 6 4
ppspr psspr 2 1 1
ppspr pssps 0 0 1
ppspr pssrp 1 0 2
ppspr pssrs 0 3 3
ppspr psssp 7 2 4
ppspr psssr 0 3 0
ppspr pssss 1 0 0
ppspr rpsrr 0 1 0
ppspr rpssp 0 1 2
ppspr rpssr 2 0 0
ppspr rrspr 1 0 0
ppspr rrsps 0 1 3
ppspr rrsrp 0 0 2
ppspr rrsrr 0 0 2
ppspr rrssr 0 1 0
ppspr rspps 0 0 1
ppspr rsspp 1 0 1
ppspr rsspr 2 3 2
ppspr rssps 0 1 0
ppspr rssrp 1 0 0
ppspr rsssp 0 1 0
ppspr rsssr 1 0 1
ppspr spsps 1 0 0
ppspr srsrp 1 0 0
ppspr srsrs 0 0 1
ppspr ssspp 7 2 1
ppspr ssspr 3 3 1
ppspr sssps 2 0 1
ppsps prpsp 1 0 0
ppsps prsrs 0 0 1
ppsps prsss 0 1 0
ppsps psspp 5 1 0
ppsps psspr 1 1 0
ppsps pssps 1 0 1
ppsps pssrp 1 1 0
ppsps pssrs 0 1 0
ppsps psssp 2 3 3
ppsps psssr 0 0 1
ppsps rrrpr 0 0 1
ppsps rrspp 1 0 0
ppsps rrsps 3 1 0
ppsps rrsrr 0 0 1
ppsps rsspp 3 1 1
ppsps rsspr 4 2 5
ppsps rsssp 0 1 0
ppsps rsssr 0 1 0
ppsps rssss 0 0 1
ppsps spspp 1 0 1
ppsps srspp 1 0 0
ppsps ssspp 6 3 2
ppsps ssspr 3 0 4
ppsps sssps 3 0 0
ppsps sssrr 0 1 0
ppsr ppsp 0 1 0
ppsr ppsr 1 1 0
ppsr ppss 1 0 0
ppsr prsr 0 0 1
ppsr prss 0 1 1
ppsr pspp 0 0 1
ppsr psps 0 1 0
ppsr psrp 0 0 1
ppsr psrr 0 0 2
ppsr pssp 9 5 23
ppsr pssr 4 4 1
ppsr psss 14 7 15
ppsr rppr 1 0 0
ppsr rpss 1 0 0
ppsr rrpp 1 1 1
ppsr rrrs 1 0 1
ppsr rrsp 7 2 5
ppsr rrsr 5 2 4
ppsr rrss 0 1 2
ppsr rspp 0 1 0
ppsr rsps 0 0 1
ppsr rsrp 0 0 1
ppsr rsrr 2 0 0
ppsr rsrs 1 0 0
ppsr rssp 11 7 22
ppsr rssr 0 2 4
ppsr rsss 7 4 6
ppsr sppr 0 0 1
ppsr spsp 1 1 1
ppsr srsp 0 1 1
ppsr srsr 2 2 3
ppsr sspp 0 1 0
ppsr sspr 2 1 0
ppsr ssrp 1 0 0
ppsr ssrr 0 0 1
ppsr ssrs 1 0 0
ppsr sssp 28 18 36
ppsr sssr 1 1 0
ppsr ssss 2 0 1
